电台,封面图片,id,播放地址,网页地址,节目表
佛山电台FM94.6综合广播,fm946.jpg,46,https://radiopull.radiofoshan.com.cn/live/1400820947_BSID_46_audio.m3u8,https://www.radiofoshan.com.cn/stationplayer.html?id=46,https://app.radiofoshan.com.cn//pc/index/ajaxGetBsPlayList?id=46&date=
佛山电台FM92.4南海广播,fm924.jpg,42,https://radiopull.radiofoshan.com.cn/live/1400820947_BSID_42_audio.m3u8,https://www.radiofoshan.com.cn/stationplayer.html?id=42,https://app.radiofoshan.com.cn//pc/index/ajaxGetBsPlayList?id=42&date=
佛山电台FM90.1顺德广播,fm901.jpg,44,https://radiopull.radiofoshan.com.cn/live/1400820947_BSID_44_audio.m3u8,https://www.radiofoshan.com.cn/stationplayer.html?id=44,https://app.radiofoshan.com.cn//pc/index/ajaxGetBsPlayList?id=44&date=
